City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
293,afaahiti,-17.75,-149.2833,302.08,89,100,15.38,PF,1707343008
294,puerto leguizamo,-0.1934,-74.7819,299.73,91,92,0.62,CO,1707343008
295,richards bay,-28.783,32.0377,297.56,87,100,6.46,ZA,1707343008
296,melekeok village,7.4957,134.6367,300.03,78,98,7.71,PW,1707343009
297,usinsk,65.9939,57.5281,259.86,92,100,4.47,RU,1707342831
298,labrador city,52.9463,-66.9114,266.1,90,100,1.03,CA,1707343009
299,mizdah,31.4451,12.9801,285.25,38,0,3.26,LY,1707343009
300,mahina,-17.5065,-149.489,303.02,79,75,7.72,PF,1707342992
301,aras-asan,8.8908,126.3033,297.69,88,100,0.82,PH,1707343009
302,ar rass,25.8694,43.4973,285.4,29,6,4.39,SA,1707343009
303,meru,0.0463,37.6559,290.08,79,38,1.63,KE,1707343009
304,tuni,17.35,82.55,295.46,88,0,0.74,IN,1707343009
305,khenchela,35.4358,7.1433,280.26,58,0,2.0,DZ,1707343009
306,gummi,12.1436,5.1081,296.22,17,0,4.5,NG,1707343009
307,qarqaraly,49.4058,75.4742,260.02,95,28,3.91,KZ,1707343010
308,cheyenne,41.14,-104.8203,280.36,56,100,1.34,US,1707343010
309,nizhneudinsk,54.9076,99.0276,254.69,97,72,1.2,RU,1707343010
310,gulf shores,30.246,-87.7008,290.01,62,0,6.17,US,1707343010
311,klyuchi,52.2667,79.1667,271.38,93,100,4.8,RU,1707343010
312,quesnel,52.9999,-122.5029,270.43,80,100,0.0,CA,1707343010
313,malvan,16.0667,73.4667,298.2,60,32,4.94,IN,1707343010
314,peterhead,57.5058,-1.7981,273.37,70,17,7.73,GB,1707343010
315,chui,-33.6971,-53.4616,298.34,69,26,5.11,UY,1707343010
316,korocha,50.8107,37.1953,276.55,96,100,7.9,RU,1707343010
317,doganyol,38.3118,39.0382,278.92,93,91,1.59,TR,1707343010
318,chapaev,50.2,51.1667,270.53,97,91,7.39,KZ,1707343011
319,santa cruz,-17.8,-63.1667,306.85,49,20,7.2,BO,1707342889
320,praia da vitoria,38.7333,-27.0667,289.29,88,20,8.53,PT,1707343011
321,diapaga,12.0708,1.7889,297.64,16,5,3.56,BF,1707343011
322,turpan,42.9333,89.1667,272.53,57,1,1.01,CN,1707343011
323,sorong,-0.8833,131.25,300.5,78,100,3.42,ID,1707342948
324,port augusta,-32.5,137.7667,294.19,48,2,3.36,AU,1707343011
325,serdar,38.9764,56.2757,283.44,47,96,1.02,TM,1707343011
326,bannu,32.9854,70.6027,284.14,33,0,1.88,PK,1707343011
327,kununurra,-15.7667,128.7333,299.14,78,40,3.6,AU,1707343011
328,guerrero negro,27.9769,-114.0611,290.77,51,5,8.33,MX,1707343011
329,celestun,20.8667,-90.4,296.46,57,0,4.54,MX,1707343011
330,gaalkacyo,6.7697,47.4308,295.96,78,28,6.86,SO,1707343012
331,mazagao,-0.115,-51.2894,304.18,77,35,2.9,BR,1707343012
332,polyarnyy,69.1989,33.4478,250.46,100,89,3.64,RU,1707343012
333,lepsy,46.235,78.9456,272.15,97,100,6.01,KZ,1707343012
334,sitka,57.0531,-135.33,275.09,75,20,0.0,US,1707342823
335,naberera,-4.2,36.9333,291.3,88,1,2.63,TZ,1707343012
336,yulinshi,38.2906,109.7494,265.01,87,65,0.35,CN,1707343012
337,mezzouna,34.5776,9.8419,286.96,47,0,3.12,TN,1707343012
338,east london,-33.0153,27.9116,293.64,63,0,3.46,ZA,1707343012
339,punta arenas,-53.15,-70.9167,285.21,58,75,7.72,CL,1707343012
340,touros,-5.1989,-35.4608,300.66,79,84,5.44,BR,1707343012
341,bom jesus,-9.0744,-44.3586,302.14,54,100,1.47,BR,1707343013
342,sirte,31.2089,16.5887,290.79,38,93,4.11,LY,1707343013
343,vorgashor,67.5833,63.95,264.39,88,100,4.82,RU,1707343013
344,arawa,-6.2132,155.5367,302.2,75,100,1.18,PG,1707343013
345,mont-dore,-22.2833,166.5833,300.93,99,100,5.58,NC,1707343013
346,lospalos,-8.5186,127.0025,295.71,94,90,0.88,TL,1707343013
347,dudinka,69.4058,86.1778,249.64,98,41,2.24,RU,1707343013
348,juneau,58.3019,-134.4197,271.71,97,20,0.0,US,1707343013
349,chonchi,-42.6128,-73.8092,290.71,57,79,1.11,CL,1707343013
350,fort mcmurray,56.7268,-111.381,265.92,86,100,1.03,CA,1707343013
